time_s,flow_rate_m3_s,flow_rate_L_min
0.0,0.0,0.0
0.005,1.6448664224806536e-06,0.09869198534883922
0.01,3.2893269987842245e-06,0.19735961992705348
0.015,4.932975982870102e-06,0.29597855897220615
0.02,6.57540782894591e-06,0.3945244697367546
0.025,8.216217291529866e-06,0.49297303749179194
0.03,9.854999525439034e-06,0.5912999715263421
0.035,1.1491350185678827e-05,0.6894810111407297
0.04,1.3124865527209064e-05,0.7874919316325438
0.045,1.475514250456204e-05,0.8853085502737223
0.05,1.6381778871287952e-05,0.9829067322772771
0.055,1.8004373279203194e-05,1.0802623967521916
0.06,1.962252537741701e-05,1.1773515226450206
0.065,2.1235835911112104e-05,1.2741501546667262
0.07,2.2843906820054765e-05,1.3706344092032858
0.075,2.4446341336810284e-05,1.466780480208617
0.08,2.6042744084639412e-05,1.5625646450783648
0.085,2.7632721175051598e-05,1.6579632705030958
0.09,2.921588030499112e-05,1.7529528182994671
0.095,3.0791830853631985e-05,1.847509851217919
0.1,3.236018397875777e-05,1.9416110387254661
0.105,3.3920552712702626e-05,2.0352331627621574
0.11,3.547255205782975e-05,2.128353123469785
0.115,3.70157990815238e-05,2.220947944891428
0.12,3.8549913010673764e-05,2.312994780640426
0.125,4.0074515325623085e-05,2.4044709195373852
0.13,4.158922985356364e-05,2.4953537912138186
0.135,4.309368286135085e-05,2.5856209716810508
0.14,4.458750314771663e-05,2.675250188862998
0.145,4.607032213485783e-05,2.7642193280914698
0.15,4.75417739593773e-05,2.8525064375626377
0.155,4.9001495562555124e-05,2.9400897337533074
0.16,5.0449126779928004e-05,3.02694760679568
0.165,5.188431043015443e-05,3.113058625809266
0.17,5.33066924031438e-05,3.198401544188628
0.175,5.4715921747427856e-05,3.282955304845671
0.18,5.611165075675267e-05,3.36669904540516
0.185,5.74935350558699e-05,3.4496121033521936
0.19,5.886123368550631e-05,3.5316740211303785
0.195,6.021440918649037e-05,3.612864551189422
0.2,6.155272768301523e-05,3.6931636609809138
0.205,6.28758589650175e-05,3.7725515379010504
0.21,6.418347656965186e-05,3.8510085941791115
0.215,6.547525786184062e-05,3.9285154717104374
0.22,6.67508841138793e-05,4.005053046832758
0.225,6.801004058407779e-05,4.080602435044667
0.23,6.925241659441824e-05,4.155144995665094
0.235,7.047770560721018e-05,4.228662336432611
0.24,7.168560530072407e-05,4.3011363180434445
0.245,7.287581764378475e-05,4.372549058627085
0.25,7.404804896930609e-05,4.442882938158365
0.255,7.5202010046749e-05,4.51212060280494
0.26,7.633741615348472e-05,4.580244969209083
0.265,7.745398714504582e-05,4.647239228702749
0.27,7.855144752424779e-05,4.713086851454867
0.275,7.962952650916368e-05,4.777771590549821
0.28,8.06879580999356e-05,4.8412774859961365
0.285,8.17264811444062e-05,4.9035888686643725
0.29,8.274483940255402e-05,4.964690364153241
0.295,8.374278160971686e-05,5.0245668965830115
0.3,8.472006153858766e-05,5.0832036923152595
0.305,8.567643805996729e-05,5.140586283598037
0.31,8.661167520225968e-05,5.196700512135581
0.315,8.752554220969423e-05,5.2515325325816535
0.32,8.841781359926136e-05,5.305068815955681
0.325,8.928826921634699e-05,5.357296152980819
0.33,9.013669428905255e-05,5.408201657343153
0.335,9.096287948118658e-05,5.457772768871195
0.34,9.176662094391544e-05,5.5059972566349265
0.345,9.254772036605978e-05,5.5528632219635865
0.35,9.330598502302508e-05,5.598359101381504
0.355,9.404122782435337e-05,5.642473669461202
0.36,9.47532673598851e-05,5.685196041593106
0.365,9.544192794451934e-05,5.726515676671161
0.37,9.610703966156152e-05,5.766422379693691
0.375,9.674843840464768e-05,5.804906304278861
0.38,9.736596591823548e-05,5.841957955094129
0.385,9.795946983665117e-05,5.87756819019907
0.39,9.852880372168366e-05,5.9117282233010195
0.395,9.907382709871598e-05,5.944429625922958
0.4,9.959440549138519e-05,5.975664329483111
0.405,0.00010009041045476248,6.005424627285748
0.41,0.00010056171960704499,6.0337031764227
0.415,0.0001010082166597518,6.060492999585108
0.42,0.0001014297914464162,6.085787486784972
0.425,0.00010182633994976774,6.109580396986065
0.43,0.00010219776432739692,6.131865859643815
0.435,0.00010254397293589627,6.152638376153776
0.44,0.00010286488035347211,6.171892821208327
0.445,0.00010316040740102097,6.189624444061258
0.45,0.00010343048116166593,6.205828869699956
0.455,0.00010367503499874777,6.220502099924866
0.46,0.00010389400857226652,6.233640514335991
0.465,0.00010408734785376947,6.245240871226168
0.47,0.00010425500513968192,6.255300308380915
0.475,0.0001043969390630773,6.2638163437846375
0.48,0.00010451311460388378,6.270786876233027
0.485,0.00010460350309752507,6.276210185851504
0.49,0.00010466808224199285,6.280084934519571
0.495,0.00010470683610334954,6.282410166200973
0.5,0.00010471975511965977,6.283185307179586
0.505,0.00010470683610334954,6.282410166200973
0.51,0.00010466808224199285,6.280084934519571
0.515,0.00010460350309752507,6.276210185851504
0.52,0.00010451311460388378,6.270786876233027
0.525,0.0001043969390630773,6.2638163437846375
0.53,0.00010425500513968192,6.255300308380915
0.535,0.00010408734785376947,6.245240871226168
0.54,0.0001038940085722665,6.23364051433599
0.545,0.00010367503499874777,6.220502099924866
0.55,0.00010343048116166592,6.205828869699955
0.555,0.00010316040740102097,6.189624444061258
0.56,0.00010286488035347211,6.171892821208327
0.565,0.00010254397293589629,6.152638376153777
0.57,0.00010219776432739693,6.131865859643816
0.575,0.00010182633994976776,6.109580396986066
0.58,0.00010142979144641621,6.085787486784973
0.585,0.00010100821665975182,6.060492999585109
0.59,0.000100561719607045,6.0337031764227005
0.595,0.00010009041045476249,6.005424627285749
0.6,9.95944054913852e-05,5.975664329483112
0.605,9.907382709871599e-05,5.944429625922959
0.61,9.852880372168366e-05,5.9117282233010195
0.615,9.795946983665117e-05,5.87756819019907
0.62,9.736596591823548e-05,5.841957955094129
0.625,9.674843840464768e-05,5.804906304278861
0.63,9.610703966156153e-05,5.766422379693692
0.635,9.544192794451936e-05,5.726515676671162
0.64,9.475326735988509e-05,5.685196041593105
0.645,9.404122782435338e-05,5.642473669461203
0.65,9.330598502302509e-05,5.598359101381505
0.655,9.254772036605979e-05,5.552863221963587
0.66,9.176662094391543e-05,5.505997256634926
0.665,9.096287948118658e-05,5.457772768871195
0.67,9.013669428905255e-05,5.408201657343153
0.675,8.9288269216347e-05,5.35729615298082
0.68,8.841781359926134e-05,5.30506881595568
0.685,8.752554220969423e-05,5.2515325325816535
0.69,8.66116752022597e-05,5.196700512135583
0.695,8.567643805996733e-05,5.140586283598039
0.7,8.472006153858766e-05,5.0832036923152595
0.705,8.374278160971689e-05,5.024566896583013
0.71,8.274483940255405e-05,4.964690364153243
0.715,8.172648114440623e-05,4.903588868664373
0.72,8.06879580999356e-05,4.8412774859961365
0.725,7.962952650916368e-05,4.777771590549821
0.73,7.855144752424779e-05,4.713086851454867
0.735,7.745398714504585e-05,4.647239228702751
0.74,7.63374161534847e-05,4.580244969209082
0.745,7.5202010046749e-05,4.51212060280494
0.75,7.40480489693061e-05,4.442882938158366
