iteration,Ux_initial,Uy_initial,Uz_initial,p_initial,Ux_final,Uy_final,Uz_final,p_final,p_corrections,Ux_linear_iterations,Uy_linear_iterations,Uz_linear_iterations,continuity_local,continuity_global,continuity_cumulative
1,1.0,1.0,1.0,1.0,0.0128991,0.048476492,0.049733666,0.00056927251,3,2,2,2,51.10776,0.5894815,0.5894815
2,0.37733593,0.4195199,0.39276527,0.33946151,0.010393125,0.014953616,0.0070999646,0.00037805525,3,2,2,3,23.967613,0.2969988,0.8864803
3,0.31876977,0.45977325,0.57468475,0.1120623,0.0096994104,0.016538254,0.021020821,0.0026736128,3,3,3,3,18.064782,-0.14137257,0.74510774
4,0.17176553,0.2989366,0.33811502,0.11068188,0.0052362728,0.010625048,0.012256101,0.00055122185,3,3,3,3,23.95585,0.24628164,0.99138938
5,0.15666102,0.22539503,0.15191311,0.30229168,0.0062164321,0.01109879,0.0038642738,0.00036812127,3,2,2,3,11.298612,0.22214805,1.2135374
6,0.22738904,0.33337373,0.34981296,0.20018427,0.0057251384,0.010958672,0.012554567,0.0018849753,3,3,3,3,16.08783,0.14344345,1.3569809
7,0.16180128,0.23528052,0.23958416,0.23850173,0.0040919837,0.0076028887,0.0085227671,0.00050548683,3,3,3,3,13.383911,-0.06278538,1.2941955
8,0.15614764,0.2142641,0.15071943,0.20896858,0.0072427845,0.0040780465,0.0044698822,0.00052996586,3,2,3,3,8.3159909,0.0034653102,1.2976608
9,0.14608615,0.2275735,0.21983708,0.15111247,0.0036457846,0.0074248134,0.0079391685,0.0015867585,3,3,3,3,10.556762,-0.070764557,1.2268963
10,0.071532991,0.10977833,0.094602852,0.18507889,0.0015725507,0.0031222982,0.0032451834,0.00048728999,3,3,3,3,7.186741,0.057779645,1.2846759
11,0.075659692,0.11227749,0.082814359,0.16915145,0.0012096375,0.0025170839,0.0026855717,0.00047981483,3,3,3,3,3.6635188,-0.00548984,1.2791861
12,0.07922578,0.12442418,0.1195105,0.15083915,0.0019875691,0.0040586386,0.0042971534,0.0011850021,3,3,3,3,6.992462,0.042576625,1.3217627
13,0.043649296,0.061433582,0.046326931,0.17516708,0.00080750801,0.0014105146,0.0014282652,0.00042313932,3,3,3,3,3.8388061,-0.02454579,1.2972169
14,0.049168505,0.072815222,0.057616496,0.11156038,0.00089748967,0.0018661436,0.0019723832,0.00034223034,3,3,3,3,1.5592566,0.013111751,1.3103286
15,0.040976383,0.066228017,0.063517996,0.11057812,0.0010541451,0.002204763,0.0023058155,0.0010453195,3,3,3,3,4.2855461,-0.019312267,1.2910164
16,0.021642849,0.030548183,0.021126157,0.10697438,0.00034601414,0.00057653759,0.00056520362,0.00038108385,3,3,3,3,2.0074113,0.016877289,1.3078937
17,0.026486643,0.04019451,0.03267334,0.092978965,0.00051193206,0.0010615193,0.0011109518,0.00027569406,3,3,3,3,0.76119373,-0.0057389735,1.3021547
18,0.021511111,0.034186861,0.031900249,0.095950519,0.00054254199,0.0010923445,0.0011346035,0.00070662329,3,3,3,3,2.5835438,0.019001692,1.3211564
19,0.013423423,0.018587156,0.0120211,0.084425775,0.00020392613,0.00029516212,0.00024798386,0.00043439308,3,3,3,3,1.6760342,0.0030588035,1.3242152
20,0.015547773,0.024122179,0.020659827,0.06336003,0.00032448321,0.00068554029,0.00072264475,0.00024080076,3,3,3,3,0.62154205,0.0015817406,1.3257969
21,0.01150119,0.018696622,0.017627352,0.06071905,0.00029251339,0.00060041685,0.00063195549,0.00060397079,3,3,3,3,1.60089,-0.0069827143,1.3188142
22,0.008040112,0.01132575,0.0080522467,0.052275436,0.0001309992,0.00021565933,0.00020186492,0.00034229654,3,3,3,3,0.90802631,-0.0010097311,1.3178045
23,0.0090364167,0.013770654,0.011374683,0.054330779,0.00019049561,0.00037028217,0.00036932157,0.00019740244,3,3,3,3,0.43128003,-0.00034431571,1.3174602
24,0.0068575389,0.010452327,0.0090423815,0.052570933,0.00016561579,0.00029974372,0.00029408311,0.00027154354,3,3,3,3,0.73397394,0.002038329,1.3194985
25,0.0056692249,0.0081889408,0.0064918892,0.040800672,0.00010948726,0.00018033121,0.00017090233,0.00019049717,3,3,3,3,0.50060286,-0.00060539254,1.3188931
26,0.0057524956,0.0091509843,0.0082033913,0.036812507,0.00013344357,0.00026315348,0.00027189544,0.00014215044,3,3,3,3,0.32120519,-0.00018527727,1.3187078
27,0.0044406772,0.0071153417,0.0065573294,0.03407742,0.00011290067,0.00020756304,0.00021438443,0.00020841712,3,3,3,3,0.44258236,0.0005600247,1.3192679
28,0.0040509083,0.0060786833,0.0051865947,0.03125424,9.1141461e-05,0.0001552409,0.00015167328,0.00010342604,3,3,3,3,0.21472601,-0.0015153138,1.3177525
29,0.0040621157,0.0061960456,0.0054546588,0.031006582,0.00010028171,0.00017291897,0.00016946541,9.7774779e-05,3,3,3,3,0.22175298,0.00081796522,1.3185705
