sample_index,distance_from_superior_mm,center_x_ras_mm,center_y_ras_mm,center_z_ras_mm,normal_x,normal_y,normal_z,area_mm2,perimeter_mm,minimum_feret_diameter_mm,maximum_feret_diameter_mm,equivalent_diameter_mm
0,0.0,2.173408031463623,-3.310279130935669,-41.31624221801758,-0.24142245307564683,-0.6617899095618354,-0.7097529955928858,9.262456683055223,14.516438036831929,2.8356983982614583,5.451481273958079,3.4341412507732407
1,0.2481066700023819,2.1135095105672184,-3.474473621638232,-41.49233667027835,-0.24142245307564517,-0.6617899095618303,-0.7097529955928911,7.572345254566762,10.445042539118685,2.3637420926327977,4.047358767707501,3.105061903489535
2,0.4962133400047638,2.053610989670814,-3.638668112340795,-41.66843112253911,-0.2414224530756447,-0.6617899095618291,-0.7097529955928924,7.0947679434789475,10.037751727342307,2.3073805197022046,3.9088650072210926,3.0055513814201813
3,0.7443200100071456,1.9937124687744094,-3.802862603043358,-41.84452557479988,-0.24142245307564425,-0.6617899095618291,-0.7097529955928924,6.709818519682013,9.742760536774677,2.2636110995787684,3.8029824289597554,2.9228763705048304
4,0.9924266800095276,1.933813947878005,-3.967057093745921,-42.02062002706065,-0.19863313346832223,-0.6530559426396969,-0.730796013995378,6.37944362472525,9.507184095285108,2.202131080613825,3.736665571731649,2.850010508122525
5,1.2405333500119096,1.895283741988966,-4.126326740561317,-42.2064612001755,-0.143131457230475,-0.6396234068312876,-0.7552451809741111,6.08865800799867,9.301870878429373,2.1370980785888136,3.6775126213480016,2.784298861500383
6,1.4886400200142913,1.8630090590103692,-4.284154651153903,-42.3951557024173,-0.13008389890641492,-0.636129252756774,-0.7605378051302998,5.810039719124345,9.09408198406204,2.078341026248855,3.6104062825832166,2.719847849948797
7,1.7367466900166733,1.830734376031772,-4.441982561746489,-42.58385020465909,-0.13008389890641356,-0.6361292527567672,-0.7605378051303059,5.572367152290219,8.921264116111196,2.0269217948204576,3.541780974355685,2.663636276986626
8,1.9848533600190552,1.798459693053175,-4.599810472339075,-42.772544706900895,-0.13008389890641509,-0.636129252756773,-0.7605378051303007,5.373398631558804,8.79003975444371,1.9571692332097417,3.505343290801877,2.615649752418408
9,2.232960030021437,1.7661850100745782,-4.7576383829316615,-42.9612392091427,-0.12252267321471497,-0.6441744168996993,-0.755001665667204,5.190639122981925,8.668040356982845,1.8973332497633204,3.473413142642019,2.5707833424522635
